NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,424.597
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,438.783
b38a03232f43b11c9d0788abaf060f7366053b6d,600.622
715494628a50142ce8cb17191cfe6d0f3cae0934,551.698
e656d6bad65c93fb2880f1eba5037008c8e75774,489.624
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,546.416
11539e86171bf07d3a36f09377d7f54ebcc8406a,420.881
043c544a2104aa8a9849f1a703a08d37a2f16839,467.959
76ba050e64ad100b856f0eaabd8f539d5c7dd185,430.651
940aede382ccb332fab15d413217695ec44ca765,470.752
9ad714b116da76d878dd399d187fccc2dd13dd63,618.906
dd34464a4d780b12a089347ad580418ac57a3055,526.323
f837a4cb05a5fd59d20138182f5e8c721eadd584,455.809
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,428.345
3d203727f27abd83b71732d88d8cb1cc099f363b,446.992
cbc301183dec912f3513ca766bf03dd565f3a38f,432.33
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,649.967
11282da1ee78c8db45a041db4c744e33df489df0,438.249
03c67f683a415c2ea09b582248bd4cb08528c19d,574.945
046e844fb06a07ba30b41521f0065a8d9c6e5024,421.619
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,426.413
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,445.506
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,559.553
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,456.601
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,513.176
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,481.278
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,465.699
59bfa081e020013410d9f60f91813964ba749bb2,428.763
f5e069ee3bc95998464e8ff5da048b7f999921ed,445.954
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,555.285
664f44258212a1f7e4086f2b4845d586c543fa3f,470.864
265cd7befa74a9f2a198fc57baec9858075f8419,461.256
6f9ac44919bbd204e0ef15185388fd2d4bc61253,496.046
78de1ee60b55766cc3eba4089e36c57139b66ebd,445.193
1e61a474acdc043eb39a89c17fab34bd2ea1a940,402.601
940af68ded6af2875708611051aa7ff3f134d80b,483.329
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,507.431
c76ddf6e9f80984e901b12f9462a3cf029bea290,489.105
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,441.526
92823d467a2ced9529801e0e8a94802dd88f0c17,423.752
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,605.474
413cbb38b2e2522f8167ffb9daeac1347b281393,461.994
68985fad004092956a4b4ce94dd53dc76d07eaf7,475.291
bdca9aeb19521675af15f2c28d86f6bebc45a834,492.119
b65b19d42b7a4b644fe9f99366dcb37b120862d9,441.13
eda898aa8ec465cbac70de72ead0c6d688e5f95a,434.044
8d5c4481d736f6ce27976e400f4245bf10757608,436.392
c4cea54435c0fd0e171eed4c215479bb3ca86113,429.934
7d5cd89c6112b9a202a025a24355135bc60848c6,454.18
b70ab62384aa80545928a311f5b5d3db2f4d87ee,540.623
c96431dd924f366d2229a7f1455388b8cd85be49,565.289
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,430.362
e724482370ae6126008ade80b564ad8d8a0a7cbd,445.576
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,688.647
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,461.356
7f898f8939ae054359f83ee154bb91bc7dd2c959,558.368
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,460.963
82e3b12c6366008fabc238f299f117074e78de5d,414.61
0d838be0e718ceb786cdb10fcc12559e00440240,518.715
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,494.519
c83fe640ba466ba904ac1055e53a875289888797,453.057
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,452.536
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,404.699
328639a0c753715c30a58bae70c82f2101153eb3,445.935
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,556.452
f56746cc2900258507d2b32c126f8db090db856f,476.398
1a4963b5fea8bb25c67750cdafbe84b01efad177,422.8
b520c940e62f4ed684417e7eacf00d85752060da,466.23
2e170cf2651ed448991af6fc5df15167733b2d8f,489.972
6efdd93a0ae289be6bb5a400bfc1deb077d75886,397.852
72ac2acc787d8cba0934cca3810ac091d792c8db,494.183
92a25eee14554806f081869cc9dac868fd1860fb,439.418
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,429.481
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,466.193
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,587.567
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,434.076
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,443.167
1a46d99716282410d1170f0f35069b34e34415d4,465.716
0467e022da4ef897f666bc76f31e1bc8976f7e92,498.77
993aca0d5eac6741117947c82a3647102096255e,436.948
94c96ade6ade21deb080bba6aad537fc4f195d47,528.759
36bb672077a46a3e4755cef90437a616d28bdf23,414.979
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,389.874
328ca19128d276eb4fbc309c54ec7f346c803d2f,750.437
27cdb62f0a2a5467efeb30aafbf246ed2320c532,432.059
f9ef2695eb0986666093945894b8f2fee351bf22,517.207
8a021391cdaac100dab56c59284bd50137a74129,558.523
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,460.006
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,437.237
b9f786712775e0d1d735398d710b01f404c985a3,405.531
564958997e204bda06fbe90afc4722805c78a855,548.642
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,424.568
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,524.297
8296743fdd105ce9183561cf5b359b0a3781465e,425.803
6602c7f15a1fdd082265b64976448c6809df792d,481.387
31ae66f0fe024acae4490915c348e487f2367574,477.225
81901aa980653106e64863d957387d24e2c00af3,426.016
28e10d1bd0b6effe0edd503446ebda948ad240ad,416.622
53a7ee52a87f80241e2ca13c923e06b72bf3a059,449.883
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,584.464
02681b5c893b94db204713cb4b20dde6fc3f2f95,503.394
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,415.969
28c6829e69879bc1d34db1cd51b89562d3cc596b,500.748
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,464.433
923538833160e8432636c88e8119378a43b3d766,436.898
aacb834258765a2959ee63c57d2be4923d11a696,436.787
c32e484025571dd94255a77f21de08ab8d2aaba8,513.204
